2020.12.25_05.10.37,2392.9219_2443.063_2368.267
2020.12.25_05.11.47,2392.9219_2443.063_2368.267
2020.12.25_05.16.47,2409.0962_2444.9873_2391.0981
2020.12.25_05.21.47,2423.887_2446.7437_2412.211
2020.12.25_05.26.47,2427.428_2447.1638_2417.2998
2020.12.25_05.31.47,2368.971_2440.2083_2334.9285
2020.12.25_05.36.47,2357.807_2438.874_2319.5847
2020.12.25_05.41.47,2364.069_2439.6228_2328.1772
2020.12.25_05.46.47,2362.333_2439.4153_2325.7913
2020.12.25_05.51.47,2407.9917_2444.856_2389.5305
2020.12.25_05.56.47,2380.3062_2441.5603_2350.6265
2020.12.25_06.01.47,2435.5444_2448.1257_2429.014
2020.12.25_06.06.47,2384.7173_2442.0854_2356.786
2020.12.25_06.11.47,2376.9167_2441.1562_2345.9197
2020.12.25_06.16.47,2386.0996_2442.2502_2358.7156
2020.12.25_06.21.47,2394.4805_2443.2485_2370.4556
2020.12.25_06.26.47,2404.5261_2444.444_2384.62
2020.12.25_06.31.47,2383.336_2441.921_2354.8596
2020.12.25_06.36.47,2355.3904_2438.585_2316.2788
2020.12.25_06.41.47,2410.6511_2445.172_2393.307
2020.12.25_06.46.47,2421.8381_2446.5005_2409.2727
2020.12.25_06.51.47,2347.304_2437.62_2305.253
2020.12.25_06.56.47,2368.776_2440.185_2334.6594
2020.12.25_07.01.47,2354.6414_2438.4954_2315.2551
2020.12.25_07.06.47,2436.7346_2448.2666_2430.7378
2020.12.25_07.11.47,2367.944_2440.0857_2333.5122
2020.12.25_07.16.47,2350.0093_2437.9407_2308.936
2020.12.25_07.21.47,2419.9817_2446.2803_2406.6143
2020.12.25_07.26.47,2417.2146_2445.952_2402.6584
2020.12.25_07.31.47,2400.6792_2443.9863_2379.184
2020.12.25_07.36.47,2428.3887_2447.2776_2418.6826
2020.12.25_07.41.47,2422.8435_2446.6199_2410.714
2020.12.25_07.46.47,2375.4976_2440.987_2343.9521
2020.12.25_07.51.47,2372.2075_2440.5945_2339.3982
2020.12.25_07.56.47,2385.9238_2442.2292_2358.4702
2020.12.25_08.01.47,2367.8037_2440.0688_2333.3188
2020.12.25_08.06.47,2384.643_2442.0767_2356.6826
2020.12.25_08.11.47,2387.309_2442.3943_2360.4058
2020.12.25_08.16.47,2378.9111_2441.394_2348.688
2020.12.25_08.21.47,2345.9502_2437.455_2303.414
2020.12.25_08.26.47,2370.0044_2440.3318_2336.3547
2020.12.25_08.31.47,2375.4397_2440.9802_2343.872
2020.12.25_08.36.47,2369.3896_2440.2583_2335.506
2020.12.25_08.41.47,2413.7493_2445.5403_2397.7153
2020.12.25_08.46.47,2414.5923_2445.6404_2398.9167
2020.12.25_08.51.47,2409.511_2445.0366_2391.687
2020.12.25_08.56.47,2426.9524_2447.1074_2416.6155
2020.12.25_09.01.47,2424.687_2446.8386_2413.3596
2020.12.25_09.06.47,2354.1567_2438.4373_2314.593
2020.12.25_09.11.47,2386.2214_2442.2646_2358.8857
2020.12.25_09.16.47,2407.6028_2444.8098_2388.979
2020.12.25_09.21.47,2430.6172_2447.5417_2421.894
2020.12.25_09.26.47,2383.1438_2441.898_2354.5918
2020.12.25_09.31.47,2354.545_2438.484_2315.1233
2020.12.25_09.36.47,2376.6184_2441.1206_2345.5059
2020.12.25_09.41.47,2448.318_2449.6377_2447.5952
2020.12.25_09.46.47,2381.8281_2441.741_2352.7588
2020.12.25_09.51.47,2351.8982_2438.167_2311.5107
2020.12.25_09.56.47,2435.0994_2448.073_2428.3699
2020.12.25_10.01.47,2438.0505_2448.4226_2432.6455
2020.12.25_10.06.47,2362.9917_2439.4941_2326.6963
2020.12.25_10.11.47,2398.458_2443.7222_2376.0522
2020.12.25_10.16.47,2444.1895_2449.1494_2441.5696
2020.12.25_10.21.47,2400.0164_2443.9075_2378.249
2020.12.25_10.26.47,2435.2068_2448.0857_2428.5251
2020.12.25_10.31.47,2425.185_2446.8977_2414.0747
2020.12.25_10.36.47,2426.543_2447.0588_2416.0269
